threshold_deg,cue_delay_s,cooldown_s,cue_strength,base_pattern,mean_error_deg,bad_posture_percent,number_of_cues,total_comfort_penalty,mean_pressure_kpa,max_pressure_kpa,norm_mean_error_deg,norm_bad_posture_percent,norm_number_of_cues,norm_total_comfort_penalty,overall_score_lower_is_better
7,0.5,6,1.0,pulse,5.7926598840952295,74.22222222222223,22,2.885236973907345,0.08014547149742623,2.4000113903295164,0.4226259330335751,0.0028571428571429387,0.1282051282051282,0.07203592777005595,0.1341698959186321
8,1.0,4,1.3,pulse,5.436000746564314,74.16666666666667,34,5.795507552105811,0.16098632089182804,3.121032661799397,0.3428503874520486,0.0,0.4358974358974359,0.3917471031477636,0.20765176108230848
7,2.0,8,1.0,wave,6.734001253616197,76.38888888888889,17,2.229507498968755,0.0619307638602432,2.4000001999748566,0.6331799702913116,0.1142857142857139,0.0,0.0,0.20972356400139913
8,0.5,8,1.3,wave,7.304179868759389,75.5,17,2.8983601681430926,0.08051000467064146,3.1200002599673136,0.7607143730739254,0.06857142857142834,0.0,0.07347759160889325,0.23573125444740275
6,1.0,8,1.6,wave,5.950320876381901,78.5,18,3.775953596583454,0.10488759990509594,3.8400003199597705,0.4578906728175203,0.22285714285714264,0.02564102564102564,0.16988664326624958,0.25129981370744675
7,0.5,8,1.0,pulse,6.964521759449614,77.44444444444444,18,2.3543303061094187,0.06539806405859497,2.4000001999748566,0.6847415235656793,0.16857142857142826,0.02564102564102564,0.013712555349265883,0.2523491373825183
8,1.0,6,1.3,wave,6.492671742764617,76.88888888888889,23,3.9213119394939437,0.10892533165260954,3.120014807428371,0.57920071848695,0.1399999999999996,0.15384615384615385,0.18585515389581322,0.2603558257855153
8,1.0,6,1.6,wave,6.132500626465527,77.55555555555556,23,4.826166327947254,0.1340601757763126,3.8400182245272254,0.4986396328958742,0.17428571428571413,0.15384615384615385,0.28525899017318235,0.2755248930717918
8,2.0,4,1.6,wave,5.0507197619980495,76.88888888888889,34,7.133851483429282,0.19816254120636895,3.841270968368489,0.2566728652420722,0.1399999999999996,0.4358974358974359,0.538772439743071,0.2785124478488757
8,2.0,8,1.0,pulse,7.69819524194499,77.22222222222223,17,2.2295081744525014,0.0619307826236806,2.4000001999748566,0.8488455550786638,0.15714285714285722,0.0,7.420605633255563e-08,0.28292568932516293
8,2.0,8,1.0,wave,7.451751956757604,77.94444444444444,17,2.2295081858345505,0.06193078293984862,2.4000001999748566,0.7937224824810261,0.19428571428571398,0.0,7.545644463567784e-08,0.28585920714011676
8,2.0,8,1.6,wave,6.476319114427577,78.88888888888889,18,3.7754078191877802,0.10487243942188278,3.8400003199597705,0.5755430529177727,0.24285714285714247,0.02564102564102564,0.1698266862526397,0.28970091732978775
8,1.0,3,1.6,wave,4.636186833679527,75.27777777777777,45,9.233715241744338,0.25649209004845386,3.8496129414792297,0.16395242985086764,0.05714285714285658,0.717948717948718,0.7694554268622757,0.29238835034432936
8,1.0,4,1.3,wave,5.552924879283062,77.61111111111111,35,5.966616858709725,0.16573935718638122,3.121032661799397,0.36900333153153797,0.17714285714285707,0.46153846153846156,0.410544515987042,0.30022786794842476
8,2.0,6,1.0,pulse,7.016092299964887,78.38888888888889,23,3.016387823389084,0.08378855064969679,2.4000113903295164,0.6962765371756517,0.21714285714285675,0.15384615384615385,0.08644365760579777,0.30445676691397344
6,2.0,6,1.0,pulse,6.099191146906023,81.22222222222221,24,3.146857207274297,0.08741270020206379,2.4000113903295164,0.4911891525204322,0.3628571428571422,0.1794871794871795,0.10077652424205671,0.32418702521295134
7,1.0,3,1.0,pulse,5.350156250185634,78.16666666666666,47,6.1607348607640855,0.1711315239101135,2.4060080884245187,0.32364916473505884,0.205714285714285,0.7692307692307693,0.4318695759535245,0.3367807118689748
6,1.0,6,1.0,pulse,6.3756890968101,81.44444444444444,24,3.1475272482033807,0.08743131245009389,2.4000113903295164,0.55303468649013,0.374285714285714,0.1794871794871795,0.10085013237134657,0.3448059874740911
8,2.0,4,1.3,wave,5.395625230700031,79.72222222222223,36,6.122756199472737,0.17007656109646493,3.121032661799397,0.33381941511104263,0.2857142857142858,0.48717948717948717,0.4276973857346187,0.34628370821406174
7,0.5,4,1.3,pulse,5.797953359319953,78.83333333333333,36,6.129614240363637,0.1702670622323232,3.121032661799397,0.4238099483289578,0.23999999999999952,0.48717948717948717,0.42845078383115415,0.34836059256641877
8,2.0,4,1.6,pulse,5.042217187198155,79.38888888888889,36,7.526451882116907,0.20906810783658072,3.841270968368489,0.2547710562818278,0.2685714285714282,0.48717948717948717,0.5819020153428341,0.3496482587141152
8,0.5,6,1.0,pulse,6.790032578106672,80.66666666666666,24,3.147519917989257,0.08743110883303491,2.4000113903295164,0.6457127474180318,0.3342857142857136,0.1794871794871795,0.10084932710210776,0.3499753416522185
8,2.0,4,1.0,wave,6.518209471255561,78.77777777777779,35,4.590204322103494,0.12750567561398593,2.4007943552303055,0.584912856517064,0.23714285714285732,0.46153846153846156,0.2593371082705418,0.35096376765150633
8,0.5,3,1.3,wave,4.772475381647836,78.44444444444446,47,8.013565466223382,0.2225990407284273,3.1278105149518742,0.19443669935803398,0.22000000000000042,0.7692307692307693,0.6354144473770862,0.35161514123800286
8,2.0,8,1.6,pulse,6.512517138245714,81.83333333333334,18,3.7770491641052297,0.10491803233625638,3.8400003199597705,0.5836396269157254,0.3942857142857146,0.02564102564102564,0.17000699811665987,0.3599039803449375
7,2.0,8,1.0,pulse,6.871156127101495,82.22222222222221,19,2.4202834812026897,0.06723009670007472,2.4000001999748566,0.6638580147042532,0.41428571428571365,0.05128205128205128,0.020957918473547672,0.3617128639275491
6,1.0,4,1.3,pulse,5.1103997341114535,80.94444444444444,37,6.1944966334526885,0.17206935092924133,3.121032661799397,0.27002175171276976,0.34857142857142825,0.5128205128205128,0.43557851494702177,0.3627603350567908
7,1.0,6,1.0,wave,7.154724947908921,80.61111111111111,24,3.147481400995447,0.08743003891654019,2.4000113903295164,0.7272851220158154,0.33142857142857135,0.1794871794871795,0.10084509577274091,0.3690818747500771
6,2.0,6,1.3,pulse,6.802448872767112,80.61111111111111,24,4.091077272847706,0.11364103535688072,3.120014807428371,0.6484899556160182,0.33142857142857135,0.1794871794871795,0.2045049229830978,0.3701150485921991
8,1.0,6,1.6,pulse,6.123181447354772,81.38888888888889,24,5.036061420390678,0.13989059501085216,3.8400182245272254,0.49655517039456504,0.37142857142857105,0.1794871794871795,0.3083172608418292,0.370893819858582
8,0.5,3,1.3,pulse,4.830343829760507,78.83333333333333,49,8.327774865056359,0.2313270795848989,3.1278105149518742,0.20738039414769682,0.23999999999999952,0.8205128205128205,0.6699322880782759,0.3758828382038612
